col_name,description,source,needs_review
ast_to,Assist-to-turnover ratio.,curated,FALSE
ast_to_ratio,Assist-to-turnover ratio.,curated,FALSE
athlete_display_name,Athlete display name (full).,curated,FALSE
athlete_first_name,Athlete first name.,curated,FALSE
athlete_full_name,Athlete full name.,curated,FALSE
athlete_guid,ESPN athlete GUID.,curated,FALSE
athlete_headshot_href,Athlete headshot image URL.,curated,FALSE
athlete_id,Unique athlete identifier (ESPN).,curated,FALSE
athlete_id_1,Primary athlete identifier (e.g. shooter).,curated,FALSE
athlete_id_2,Secondary athlete identifier (e.g. assister / fouler).,curated,FALSE
athlete_id_3,Athlete id 3.,heuristic,TRUE
athlete_jersey,Athlete jersey number.,curated,FALSE
athlete_last_name,Athlete last name.,curated,FALSE
athlete_links,JSON array of athlete-related links (serialized).,curated,FALSE
athlete_name,Athlete display name (ESPN).,curated,FALSE
athlete_position,Athlete position.,heuristic,TRUE
athlete_position_abbreviation,Athlete position abbreviation (G / F / C).,curated,FALSE
athlete_position_name,"Athlete position ('Guard', 'Forward', 'Center').",curated,FALSE
athlete_ref,Athlete ref.,heuristic,TRUE
athlete_short_name,Athlete short display name.,curated,FALSE
athlete_type,Athlete type / class.,curated,FALSE
athlete_uid,ESPN athlete UID (universal identifier).,curated,FALSE
attendance,Reported attendance.,curated,FALSE
average_3_point_field_goals_attempted,Average 3-Point Field Goals Attempted.,espn_api,FALSE
average_3_point_field_goals_made,Average 3-Point Field Goals Made.,espn_api,FALSE
average_field_goals_attempted,Average Field Goals Attempted.,espn_api,FALSE
average_field_goals_made,Average Field Goals Made.,espn_api,FALSE
average_free_throws_attempted,Average Free Throws Attempted.,espn_api,FALSE
average_free_throws_made,Average Free Throws Made.,espn_api,FALSE
avg_assists,The average assists per game.,espn_api,FALSE
avg_blocks,The average blocks per game.,espn_api,FALSE
avg_defensive_rebounds,The average defensive rebounds per game.,espn_api,FALSE
avg_field_goals_made_avg_field_goals_attempted,avgFieldGoalsMade-avgFieldGoalsAttempted.,espn_api,FALSE
avg_fouls,The average fouls committed per game.,espn_api,FALSE
avg_minutes,The average number of minutes per game.,espn_api,FALSE
avg_offensive_rebounds,The average offensive rebounds per game.,espn_api,FALSE
avg_points,The average number of points scored per game.,espn_api,FALSE
avg_rebounds,The average rebounds per game.,espn_api,FALSE
avg_steals,The average steals per game.,espn_api,FALSE
avg_three_point_field_goals_made_avg_three_point_field_goals_attempted,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted.,espn_api,FALSE
avg_turnovers,The average turnovers committed per game.,espn_api,FALSE
avgpointsagainst,Avgpointsagainst.,heuristic,TRUE
avgpointsfor,Avgpointsfor.,heuristic,TRUE
award_id,Unique identifier for award.,heuristic,TRUE
away_in_bonus,Away team's in bonus.,heuristic,TRUE
away_leaders_assists,Away team's leaders assists.,heuristic,TRUE
away_leaders_jersey_num,Away team's leaders jersey num.,heuristic,TRUE
away_leaders_name,Away leaders name.,heuristic,TRUE
away_leaders_person_id,Unique identifier for away leaders person.,heuristic,TRUE
away_leaders_player_slug,Away team's leaders player slug.,heuristic,TRUE
away_leaders_points,Away team's leaders points.,heuristic,TRUE
away_leaders_position,Away team's leaders position.,heuristic,TRUE
away_leaders_rebounds,Away team's leaders rebounds.,heuristic,TRUE
away_leaders_team_tricode,Away team's leaders team tricode.,heuristic,TRUE
away_logo,Away team logo URL.,curated,FALSE
away_losses,Away team's losses.,heuristic,TRUE
away_money_line,Away team's money line.,heuristic,TRUE
away_periods,Away team's periods.,heuristic,TRUE
away_player1,Away team's player1.,heuristic,TRUE
away_player2,Away team's player2.,heuristic,TRUE
away_player3,Away team's player3.,heuristic,TRUE
away_player4,Away team's player4.,heuristic,TRUE
away_player5,Away team's player5.,heuristic,TRUE
away_record,Away win-loss record.,curated,FALSE
away_score,Away team score at the time of the play.,curated,FALSE
away_score_at_event,Away score after this play / event.,curated,FALSE
away_seed,Away team's seed.,heuristic,TRUE
away_team_abb,Away team's team abb.,heuristic,TRUE
away_team_abbrev,Away team three-letter abbreviation.,curated,FALSE
away_team_alternate_color,Away team alternate color (hex).,curated,FALSE
away_team_city,Away team city / location.,curated,FALSE
away_team_color,Away team primary color (hex).,curated,FALSE
away_team_full,Full away team name and label.,curated,FALSE
away_team_full_name,Full away team name (e.g. 'Las Vegas Aces').,curated,FALSE
away_team_id,Unique identifier for the away team.,curated,FALSE
away_team_in_bonus,Away team's team in bonus.,heuristic,TRUE
away_team_location,Away team's team location.,heuristic,TRUE
away_team_logo,Away team logo URL.,curated,FALSE
away_team_logo_dark,Away team logo URL for dark backgrounds.,curated,FALSE
away_team_losses,Away team's team losses.,heuristic,TRUE
away_team_mascot,Away team mascot.,curated,FALSE
away_team_name,Away team name.,curated,FALSE
away_team_name_alt,Alternate away team name.,curated,FALSE
away_team_odds_close,Away team's team odds close.,heuristic,TRUE
away_team_odds_open,Away team's team odds open.,heuristic,TRUE
away_team_record,Away team's win-loss record.,curated,FALSE
away_team_score,Away team's score.,curated,FALSE
away_team_seed,Away team's team seed.,heuristic,TRUE
away_team_slug,Away team's team slug.,heuristic,TRUE
away_team_time,Time / clock value.,heuristic,TRUE
away_team_timeouts_remaining,Away team's team timeouts remaining.,heuristic,TRUE
away_team_tricode,Away team three-letter code.,curated,FALSE
away_team_uid,ESPN UID of the away team.,curated,FALSE
away_team_winner,TRUE if the away team won this game.,curated,FALSE
away_team_wins,Away team's team wins.,heuristic,TRUE
away_timeouts_remaining,Away team's timeouts remaining.,heuristic,TRUE
away_tv_broadcaster_abbreviation,Away team's tv broadcaster abbreviation.,heuristic,TRUE
away_win,Away team's win.,heuristic,TRUE
away_win_percentage,Away win percentage (0-1 decimal).,heuristic,TRUE
away_wins,Away team's wins.,heuristic,TRUE
bench_points,Points scored by the bench.,curated,FALSE
biggest_lead,Biggest lead.,heuristic,TRUE
biggest_lead_score,Biggest lead score.,heuristic,TRUE
biggest_run,Largest scoring run.,curated,FALSE
biggest_scoring_run,Biggest scoring run.,heuristic,TRUE
biggest_scoring_run_score,Biggest scoring run score.,heuristic,TRUE
birth_date,Date of birth (YYYY-MM-DD).,curated,FALSE
birth_place,Place of birth.,curated,FALSE
birth_place_city,Birth place city.,heuristic,TRUE
birth_place_country,Birth place country.,heuristic,TRUE
birth_place_state,Birth place state.,heuristic,TRUE
birthplace,Birthplace string.,curated,FALSE
blk,Blocks.,curated,FALSE
blk_to_ratio,Block-to-turnover ratio.,curated,FALSE
block_person_id,Unique identifier for block person.,heuristic,TRUE
block_player_name,Block player name.,heuristic,TRUE
blocker_name,Blocker name (for blocked shots).,curated,FALSE
blocks,Total blocks.,curated,FALSE
blocks_against,Shots blocked by opponents while attempting.,curated,FALSE
blocks_per_game,Blocks Per Game.,espn_api,FALSE
blocks_received,Shots blocked by opponents while attempting.,curated,FALSE
box_out_player_rebounds,Box-outs that led to a player rebound.,curated,FALSE
box_out_player_team_rebounds,Box-outs that led to either a player or team rebound.,curated,FALSE
box_outs,Box-outs executed.,curated,FALSE
bpg,Blocks per game.,curated,FALSE
branch_link,Branch link.,heuristic,TRUE
broadcast,Broadcast information string.,curated,FALSE
broadcast_id,Unique identifier for broadcast.,heuristic,TRUE
broadcast_lang,Broadcast language code.,curated,FALSE
broadcast_market,"Broadcast market label (e.g. 'national', 'home').",curated,FALSE
broadcast_name,Broadcast name.,heuristic,TRUE
broadcast_type,Broadcast media type (TV / radio / streaming).,curated,FALSE
broadcaster,Broadcaster name or label.,curated,FALSE
broadcasts,JSON array of broadcast records.,curated,FALSE
byline,News article byline / author.,curated,FALSE
capacity,Capacity.,heuristic,TRUE
caption,Image / video caption.,curated,FALSE
caption_text,Caption text.,curated,FALSE
career_length,Career length in seasons.,curated,FALSE
category,Category label.,curated,FALSE
charges_drawn,Charges drawn.,curated,FALSE
citizenship,Citizenship.,heuristic,TRUE
city,City.,curated,FALSE
clinch_indicator,"Playoff clinch indicator (e.g. 'x' clinched playoff, 'e' eliminated).",curated,FALSE
clincher,Clincher.,heuristic,TRUE
clock,Game clock value.,curated,FALSE
clock_display_value,Game clock display string (e.g. '8:32').,curated,FALSE
clock_minutes,Clock minutes split out for convenience.,curated,FALSE
clock_seconds,Clock seconds split out for convenience.,curated,FALSE
coach_id,Unique identifier for coach.,heuristic,TRUE
college,College or school attended.,curated,FALSE
college_id,Unique identifier for college.,heuristic,TRUE
college_name,College name.,heuristic,TRUE
color,Primary color (hex without leading '#').,curated,FALSE
comment,"Player status / inactive reason (e.g. 'DNP - Coach's Decision', 'Inactive').",curated,FALSE
competition_ref,Competition ref.,heuristic,TRUE
conference,Filter players or teams by conference.,parameter_descriptions,FALSE
conference_competition,Conference competition.,heuristic,TRUE
conference_id,Conference identifier.,curated,FALSE
conference_logo,Logo image URL for conference.,heuristic,TRUE
conference_name,Full conference name.,curated,FALSE
conference_record,Conference win-loss record.,curated,FALSE
conference_short_name,Conference short name (e.g. 'ACC').,curated,FALSE
conference_uid,ESPN universal conference identifier.,curated,FALSE
conference_url,URL for conference.,heuristic,TRUE
content_id,Unique content identifier.,curated,FALSE
content_type,Content type label (article / video / image).,curated,FALSE
contested_field_goal_percentage,Contested field goal percentage (0-1).,curated,FALSE
contested_field_goals_attempted,Contested field goal attempts.,curated,FALSE
contested_field_goals_made,Contested field goals made.,curated,FALSE
contested_shots,Defensively contested shots.,curated,FALSE
contested_shots2pt,Contested shots2pt.,heuristic,TRUE
contested_shots3pt,Contested shots3pt.,heuristic,TRUE
contested_shots_2pt,Contested two-point shots.,curated,FALSE
contested_shots_3pt,Contested three-point shots.,curated,FALSE
contract_term_years,Contract term years.,heuristic,TRUE
contract_value,Contract value.,heuristic,TRUE
coordinate_x,X coordinate on the court (half-court layout).,curated,FALSE
coordinate_x_raw,X coordinate as returned by the API before any adjustment.,curated,FALSE
coordinate_y,Y coordinate on the court (half-court layout).,curated,FALSE
coordinate_y_raw,Y coordinate as returned by the API before any adjustment.,curated,FALSE
count,Count of count.,heuristic,TRUE
country,Country (full name or code).,curated,FALSE
country_code,ISO country code (2-letter).,curated,FALSE
country_id,Country identifier.,curated,FALSE
current,Current.,heuristic,TRUE
d,D.,heuristic,TRUE
date,Date in YYYY-MM-DD format.,curated,FALSE
date_of_birth,Date of birth (YYYY-MM-DD).,curated,FALSE
date_published,Publication date (YYYY-MM-DD).,curated,FALSE
day,Day number within the month.,curated,FALSE
debut_date,Date of professional debut (YYYY-MM-DD).,curated,FALSE
debut_year,Year of professional debut.,curated,FALSE
deep_link,Deep link URL into wnba.com / espn.com.,curated,FALSE
def_rating,Defensive rating (points allowed per 100 possessions).,curated,FALSE
default,Default value for the parameter or field.,curated,FALSE
defended_at_rim_field_goal_percentage,Field goal percentage allowed at the rim (0-1).,curated,FALSE
defended_at_rim_field_goals_attempted,Field goal attempts allowed when defending at the rim.,curated,FALSE
defended_at_rim_field_goals_made,Field goals made allowed when defending at the rim.,curated,FALSE
defensive_average,Average defensive value (context-dependent).,curated,FALSE
defensive_avg48blocks,The average number of blocks per 48 minutes.,espn_api,FALSE
defensive_avg48defensive_rebounds,The average number of defensive rebounds per 48 minutes.,espn_api,FALSE
defensive_avg48steals,The average number of steals per 48 minutes.,espn_api,FALSE
defensive_avg_blocks,The average blocks per game.,espn_api,FALSE
defensive_avg_defensive_rebounds,The average defensive rebounds per game.,espn_api,FALSE
defensive_avg_steals,The average steals per game.,espn_api,FALSE
defensive_blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",espn_api,FALSE
defensive_box_outs,Defensive box outs.,heuristic,TRUE
defensive_def_rebound_rate,The percentage of missed shots that a team rebounds defensively. Rebound Rate = (Defensive Rebounds x Team Minutes) divided by [Player Minutes x (Team Defensive Rebounds + Opponent Defensive Rebounds)].,espn_api,FALSE
defensive_defensive_rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,espn_api,FALSE
defensive_rating,Defensive rating (points allowed per 100 possessions).,curated,FALSE
defensive_rebound_percentage,Defensive rebound percentage (0-1).,curated,FALSE
defensive_rebounds,Defensive rebounds.,curated,FALSE
defensive_rebounds_per_game,Defensive Rebounds Per Game.,espn_api,FALSE
defensive_steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,espn_api,FALSE
defensive_turnover_points,The amount of points resulting from the possession following a turnover.,espn_api,FALSE
deflections,Defensive deflections.,curated,FALSE
description,Long-form description text.,curated,FALSE
description_long,Long-form description text.,curated,FALSE
description_short,Short description text.,curated,FALSE
descriptor,Descriptor.,heuristic,TRUE
detail,Detail.,heuristic,TRUE
details,Details.,heuristic,TRUE
did_not_play,TRUE if the player did not appear in the game.,curated,FALSE
diff_points_pg,Diff points pg.,heuristic,TRUE
differential,Differential.,heuristic,TRUE
disabled,TRUE if the record is disabled / inactive.,curated,FALSE
display_clock,Game clock display string (e.g. '8:32').,curated,FALSE
display_date,Date display string.,curated,FALSE
display_height,Player height in display format (e.g. '6-2').,curated,FALSE
display_name,Display name.,curated,FALSE
display_value,Human-readable display value.,curated,FALSE
display_weight,Player weight in display format (e.g. '180 lbs').,curated,FALSE
displayrank,Display rank for the row.,curated,FALSE
disqualifications,Total disqualifications.,curated,FALSE
distance,Distance value (in feet for shot data; otherwise context-dependent).,curated,FALSE
division,Team division.,curated,FALSE
division_record,Division win-loss record.,curated,FALSE
divisionwinpercent,Divisionwinpercent.,heuristic,TRUE
double_double,TRUE if the player recorded a double-double in this game.,curated,FALSE
draft_date,Date in YYYY-MM-DD format.,heuristic,TRUE
draft_display_text,Draft display text.,heuristic,TRUE
draft_id,Unique identifier for draft.,heuristic,TRUE
draft_overall,Overall pick number.,curated,FALSE
draft_pick,Pick number within the round.,curated,FALSE
draft_round,Round of the draft selection.,curated,FALSE
draft_selection,Draft selection.,heuristic,TRUE
draft_year,Draft year (4-digit).,curated,FALSE
draws,Total draws.,curated,FALSE
dreb,Defensive rebounds.,curated,FALSE
dreb_pct,Defensive rebound percentage (0-1).,curated,FALSE
dreb_rate,Defensive rebound rate (0-1).,curated,FALSE
dsc,Dsc.,heuristic,TRUE
dur,Dur.,heuristic,TRUE
duration,Duration.,heuristic,TRUE
edited,Edited.,heuristic,TRUE
effective_field_goal_percentage,Effective field goal percentage (0-1).,curated,FALSE
efg_pct,Effective field goal percentage (0-1).,curated,FALSE
ei,Ei.,heuristic,TRUE
ejected,TRUE if the player was ejected from the game.,curated,FALSE
ejections,Total ejections.,curated,FALSE
enabled,TRUE if the feature / field is enabled.,curated,FALSE
end_date,End date (YYYY-MM-DD).,curated,FALSE
end_game_seconds_remaining,Seconds remaining in the game at the end of the play.,curated,FALSE
end_half_seconds_remaining,Seconds remaining in the half at the end of the play.,curated,FALSE
end_quarter_seconds_remaining,Seconds remaining in the period at the end of the play.,curated,FALSE
espn_team_id,Unique identifier for espn team.,heuristic,TRUE
estimated_defensive_rating,Estimated defensive rating (points allowed per 100 possessions estimate).,curated,FALSE
estimated_net_rating,Estimated net rating (off rating - def rating).,curated,FALSE
estimated_offensive_rating,Estimated offensive rating (points per 100 possessions estimate).,curated,FALSE
estimated_pace,Estimated possessions per 48 minutes.,curated,FALSE
estimated_team_turnover_percentage,Estimated team turnover percentage (0-1).,curated,FALSE
estimated_usage_percentage,Estimated usage percentage (0-1).,curated,FALSE
event_action_type,Numeric event-action-type code (V2 PBP).,curated,FALSE
event_guid,ESPN GUID for the event.,curated,FALSE
event_id,Unique event / game identifier (ESPN).,curated,FALSE
event_num,Sequential event number within the game (V2 PBP).,curated,FALSE
event_ref,Reference link to the originating event.,curated,FALSE
event_status_completed,TRUE if the event has completed.,curated,FALSE
event_status_state,"Event status state ('pre', 'in', 'post').",curated,FALSE
event_status_type,Event status type code.,curated,FALSE
event_type,Event / play type code (V2 PBP).,curated,FALSE
event_uid,ESPN UID for the event.,curated,FALSE
experience,Years of professional experience.,curated,FALSE
experience_abbreviation,Experience abbreviation.,heuristic,TRUE
experience_display_value,Experience display value.,heuristic,TRUE
experience_years,Experience years.,heuristic,TRUE
family_name,Player's family / last name.,curated,FALSE
fast_break_points,Fast-break points scored.,curated,FALSE
fast_break_points_attempted,Number of fast break points attempted.,heuristic,TRUE
fast_break_points_made,Number of fast break points made.,heuristic,TRUE
fast_break_points_percentage,Fast break points percentage (0-1 decimal).,heuristic,TRUE
fast_break_pts,Fast-break points scored.,curated,FALSE
fg,Field goals made.,curated,FALSE
fg3_pct,Three-point field goal percentage (0-1).,curated,FALSE
fg3a,Three-point field goal attempts.,curated,FALSE
fg3m,Three-point field goals made.,curated,FALSE
fg_pct,Field goal percentage (0-1).,curated,FALSE
fga,Field goal attempts.,curated,FALSE
fgm,Field goals made.,curated,FALSE
field_goal_pct,Field goal percentage (0-1).,curated,FALSE
field_goal_percentage,Field Goal Percentage.,espn_api,FALSE
field_goals_attempted,Field goal attempts (2-pt + 3-pt).,curated,FALSE
field_goals_effective_adjusted,Field goals effective adjusted.,heuristic,TRUE
field_goals_made,Field goals made (2-pt + 3-pt).,curated,FALSE
field_goals_made_attempted,Field Goals Made-Attempted.,espn_api,FALSE
field_goals_made_attempted_per_game,Field Goals Made-Attempted Per Game.,espn_api,FALSE
field_goals_made_field_goals_attempted,Field Goals Made-Attempted.,espn_api,FALSE
field_goals_percentage,Field goal percentage (0-1 decimal).,curated,FALSE
first_name,Player's first name.,curated,FALSE
first_occurrence_type,First occurrence type.,heuristic,TRUE
first_occurrence_value,First occurrence value.,heuristic,TRUE
first_place_votes,First place votes.,heuristic,TRUE
flagrant_fouls,Total flagrant fouls.,curated,FALSE
foul_drawn_person_id,Unique identifier for foul drawn person.,heuristic,TRUE
foul_drawn_player_name,Foul drawn player name.,heuristic,TRUE
foul_personal_total,Foul personal total.,heuristic,TRUE
foul_technical_total,Foul technical total.,heuristic,TRUE
fouled_name,Fouled-player name.,curated,FALSE
fouler_name,Fouler name.,curated,FALSE
fouls,Personal fouls.,curated,FALSE
fouls_drawn,Personal fouls drawn (by opponent's actions).,curated,FALSE
fouls_offensive,Offensive fouls.,curated,FALSE
fouls_per_game,Fouls Per Game.,espn_api,FALSE
fouls_personal,Personal fouls.,curated,FALSE
fouls_team,Fouls team.,heuristic,TRUE
fouls_team_technical,Fouls team technical.,heuristic,TRUE
fouls_technical,Technical fouls.,curated,FALSE
fppg,Fantasy points per game.,curated,FALSE
free_throw_assists,Free throw assists (passes that led to a fouled shot attempt).,curated,FALSE
free_throw_attempt_rate,Free throw attempt rate (FTA / FGA).,curated,FALSE
free_throw_pct,Free throw percentage (0-1).,curated,FALSE
free_throw_percentage,Free Throw Percentage.,espn_api,FALSE
free_throws_attempted,Free throw attempts.,curated,FALSE
free_throws_made,Free throws made.,curated,FALSE
free_throws_made_attempted,Free Throws Made-Attempted.,espn_api,FALSE
free_throws_made_attempted_per_game,Free Throws Made-Attempted Per Game.,espn_api,FALSE
free_throws_made_free_throws_attempted,Free Throws Made-Attempted.,espn_api,FALSE
free_throws_percentage,Free throw percentage (0-1 decimal).,curated,FALSE
from_team_id,Unique identifier for from team.,heuristic,TRUE
ft_pct,Free throw percentage (0-1).,curated,FALSE
fta,Free throw attempts.,curated,FALSE
fta_rate,Free throw attempt rate (FTA / FGA).,curated,FALSE
ftm,Free throws made.,curated,FALSE
ftm_rate,Free throw make rate (FTM / FGA).,curated,FALSE
full_name,Player's full name.,curated,FALSE
g,Games played.,curated,FALSE
game_away_leaders_assists,Game away leaders assists.,heuristic,TRUE
game_away_leaders_jersey_num,Game away leaders jersey num.,heuristic,TRUE
game_away_leaders_name,Game away leaders name.,heuristic,TRUE
game_away_leaders_person_id,Unique identifier for game away leaders person.,heuristic,TRUE
game_away_leaders_player_slug,Game away leaders player slug.,heuristic,TRUE
game_away_leaders_points,Game away leaders points.,heuristic,TRUE
game_away_leaders_position,Game away leaders position.,heuristic,TRUE
game_away_leaders_rebounds,Game away leaders rebounds.,heuristic,TRUE
game_away_leaders_team_tricode,Game away leaders team tricode.,heuristic,TRUE
game_clock,Game clock.,heuristic,TRUE
game_code,ESPN game code (numeric identifier).,curated,FALSE
game_date,Game date (YYYY-MM-DD).,curated,FALSE
game_date_est,Game date est.,heuristic,TRUE
game_date_time,Game start date/time (ISO 8601).,curated,FALSE
game_date_time_est,Game date time est.,heuristic,TRUE
game_date_time_utc,Game date time utc.,heuristic,TRUE
game_date_utc,Game date utc.,heuristic,TRUE
game_et,Game et.,heuristic,TRUE
game_event_id,Unique identifier for game event.,heuristic,TRUE
game_half,Half of the game (1 or 2).,curated,FALSE
game_home_leaders_assists,Game home leaders assists.,heuristic,TRUE
game_home_leaders_jersey_num,Game home leaders jersey num.,heuristic,TRUE
game_home_leaders_name,Game home leaders name.,heuristic,TRUE
game_home_leaders_person_id,Unique identifier for game home leaders person.,heuristic,TRUE
game_home_leaders_player_slug,Game home leaders player slug.,heuristic,TRUE
game_home_leaders_points,Game home leaders points.,heuristic,TRUE
game_home_leaders_position,Game home leaders position.,heuristic,TRUE
game_home_leaders_rebounds,Game home leaders rebounds.,heuristic,TRUE
game_home_leaders_team_tricode,Game home leaders team tricode.,heuristic,TRUE
game_id,Unique game identifier.,curated,FALSE
game_play_id,Unique play identifier within the game.,curated,FALSE
game_play_number,Sequential play number within the game.,curated,FALSE
game_sequence,Game sequence.,heuristic,TRUE
game_spread,Game spread (signed; positive = home favored).,curated,FALSE
game_spread_available,TRUE if a point spread was available.,curated,FALSE
game_status,Game status label.,curated,FALSE
game_status_id,Numeric game status identifier.,curated,FALSE
game_status_text,"Game status display text (e.g. 'Final', '4:32 - 4th').",curated,FALSE
game_subtype,Game subtype.,heuristic,TRUE
game_time,Game start time.,curated,FALSE
game_time_away,Game time away.,heuristic,TRUE
game_time_est,Game time est.,heuristic,TRUE
game_time_home,Game time home.,heuristic,TRUE
game_time_local,Game time local.,heuristic,TRUE
game_time_utc,Game start time in UTC (ISO 8601 timestamp).,curated,FALSE
game_uid,Game uid.,heuristic,TRUE
gamecode,Gamecode.,heuristic,TRUE
games_back,Games back from the conference / division leader.,curated,FALSE
games_lost,Games lost.,curated,FALSE
games_played,Games played.,curated,FALSE
games_started,Games started.,curated,FALSE
games_won,Games won.,curated,FALSE
gamesbehind,Gamesbehind.,heuristic,TRUE
gc,Gc.,heuristic,TRUE
gender,Athlete sex / gender ('male' / 'female').,curated,FALSE
general_assist_turnover_ratio,The average number of assists a player or team records per turnover.,espn_api,FALSE
general_average,Average general value (context-dependent).,curated,FALSE
general_avg48disqualifications,The average number of disqualifications per 48 minutes.,espn_api,FALSE
general_avg48ejections,The average number of ejections per 48 minutes.,espn_api,FALSE
general_avg48flagrant_fouls,The average number of flagrant fouls committed per 48 minutes.,espn_api,FALSE
general_avg48fouls,The average number of fouls committed per 48 minutes.,espn_api,FALSE
general_avg48rebounds,The average number of rebounds per 48 minutes.,espn_api,FALSE
general_avg48technical_fouls,The average number of technical fouls committed per 48 minutes.,espn_api,FALSE
general_avg_disqualifications,The average number of disqualifications per game.,espn_api,FALSE
general_avg_ejections,The average ejections per game.,espn_api,FALSE
general_avg_flagrant_fouls,The average number of flagrant fouls per game.,espn_api,FALSE
general_avg_fouls,The average fouls committed per game.,espn_api,FALSE
general_avg_minutes,The average number of minutes per game.,espn_api,FALSE
general_avg_rebounds,The average rebounds per game.,espn_api,FALSE
general_avg_team_rebounds,The average number of rebounds for a team per game.,espn_api,FALSE
general_avg_technical_fouls,The average number of technical fouls per game.,espn_api,FALSE
general_block_foul_ratio,The average number of blocks a player or record per foul committed.,espn_api,FALSE
general_disqualifications,The number of times a player reached the foul limit.,espn_api,FALSE
general_double_double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots.",espn_api,FALSE
general_ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,espn_api,FALSE
general_fantasy_rating,The Fantasy Rating of a player.,espn_api,FALSE
general_flagrant_fouls,The number of fouls that the officials thought were unnecessary or excessive.,espn_api,FALSE
general_fouls,The number of times a player had illegal contact with the opponent.,espn_api,FALSE
general_game_day_of_year,"The day of the season on which this game falls; if it's the 15th day of the regular season in Nov, the game day of year is 15 (ie, game day of year != day of year).",espn_api,FALSE
general_games_played,Games Played.,espn_api,FALSE
general_games_started,The number of games started by an athlete.,espn_api,FALSE
general_minutes,The total number of minutes played.,espn_api,FALSE
general_nba_rating,General nba rating.,heuristic,TRUE
general_nbarating,"Custom formula to rate the performance of a player based on points, assists, steals, blocks, turnovers, rebounds, three pointers, and free throws.",espn_api,FALSE
general_per,A numerical value for each of a player's accomplishments per-minute and is pace-adjusted for the team they play on. The league average in PER to 15.00 every season.,espn_api,FALSE
general_plus_minus,A player's estimated on-court impact on team performance measured in point differential per 100 possessions.,espn_api,FALSE
general_rebound_rate,The percentage of missed shots that a team rebounds. Rebound Rate = (Rebounds x Team Minutes) divided by [Player Minutes x (Team Rebounds + Opponent Rebounds)].,espn_api,FALSE
general_rebounds,The total number of rebounds (offensive and defensive).,espn_api,FALSE
general_steal_foul_ratio,The average number of steals a player or team records per foul committed.,espn_api,FALSE
general_steal_turnover_ratio,The number of steals per turnover.,espn_api,FALSE
general_team_assist_turnover_ratio,The number of assists per turnover for a team.,espn_api,FALSE
general_team_rebounds,The total number of rebounds for a team.,espn_api,FALSE
general_technical_fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,espn_api,FALSE
general_total_rebounds,The total number of rebounds for a team or player.,espn_api,FALSE
general_total_technical_fouls,The total number of technical fouls for a team or player.,espn_api,FALSE
general_triple_double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots.",espn_api,FALSE
general_vorp,Value Over Replacement Player.,espn_api,FALSE
