col_name,description,source,needs_review
3_point_field_goal_percentage,3-Point Field Goal Percentage.,espn_api,FALSE
3_point_field_goals_made_attempted,3-Point Field Goals Made-Attempted.,espn_api,FALSE
3_point_field_goals_made_attempted_per_game,3-Point Field Goals Made-Attempted Per Game.,espn_api,FALSE
abbrev,Short abbreviation.,curated,FALSE
abbreviation,Short abbreviation.,curated,FALSE
action_id,Unique action identifier within a game (V3 PBP).,curated,FALSE
action_number,Sequential action number within a game (V3 PBP).,curated,FALSE
action_type,"Action type label (e.g. 'Made Shot', 'Substitution').",curated,FALSE
active,TRUE if the row represents an active record (player / team / season).,curated,FALSE
address_city,Address city.,heuristic,TRUE
address_state,Address state.,heuristic,TRUE
age,Player age (in years).,curated,FALSE
alternate_color,Alternate color (hex without leading '#').,curated,FALSE
alternate_label,Alternate label.,heuristic,TRUE
apg,Assists per game.,curated,FALSE
api_name,character. WNBA Stats API CamelCase parameter name.,describe:data.R,FALSE
api_url,API endpoint URL.,curated,FALSE
arena_city,Arena city.,heuristic,TRUE
arena_country,Arena country.,heuristic,TRUE
arena_id,Unique identifier for arena.,heuristic,TRUE
arena_name,Arena name.,heuristic,TRUE
arena_state,Arena state.,heuristic,TRUE
arena_timezone,Arena timezone.,heuristic,TRUE
assignment,Assignment.,heuristic,TRUE
assist_percentage,Assist percentage (0-1).,curated,FALSE
assist_person_id,Unique identifier for assist person.,heuristic,TRUE
assist_player_name_initial,Assist player name initial.,heuristic,TRUE
assist_ratio,Assist ratio (assists per 100 possessions used).,curated,FALSE
assist_to_turnover,Assist-to-turnover ratio.,curated,FALSE
assist_to_turnover_ratio,Assist To Turnover Ratio.,espn_api,FALSE
assist_total,Assist total.,heuristic,TRUE
assister_name,Assister name (for made shots).,curated,FALSE
assists,Total assists.,curated,FALSE
assists_per_game,Assists Per Game.,espn_api,FALSE
assists_turnover_ratio,Assists turnover ratio.,heuristic,TRUE
ast,Assists.,curated,FALSE
ast_pct,Assist percentage (0-1).,curated,FALSE
ast_ratio,Assist ratio (assists per 100 possessions used).,curated,FALSE
